t,asks[0].price,asks[0].amount,asks[1].price,asks[1].amount,asks[2].price,asks[2].amount,asks[3].price,asks[3].amount,asks[4].price,asks[4].amount,asks[5].price,asks[5].amount,asks[6].price,asks[6].amount,asks[7].price,asks[7].amount,asks[8].price,asks[8].amount,asks[9].price,asks[9].amount,bids[0].price,bids[0].amount,bids[1].price,bids[1].amount,bids[2].price,bids[2].amount,bids[3].price,bids[3].amount,bids[4].price,bids[4].amount,bids[5].price,bids[5].amount,bids[6].price,bids[6].amount,bids[7].price,bids[7].amount,bids[8].price,bids[8].amount,bids[9].price,bids[9].amount
1569888003305,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,20310,8308,2000,8309,18000,8309.5,128340,8310,38000,8304,260900,8303.5,2200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003338,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,10980,8308,2000,8309,28680,8309.5,128340,8310,38000,8304,260900,8303.5,2200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003343,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,8900,8307.5,1650,8308,2000,8309,28680,8309.5,128340,8310,38000,8304,260900,8303.5,2200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003419,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,28680,8309.5,128340,8304,260900,8303.5,2200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003775,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,28680,8309.5,128340,8304,260900,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,18200,8300.5,5100,8300,38600,8299.5,70,8299,8500
1569888003784,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,28680,8309.5,128340,8304,260900,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003814,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,28680,8309.5,128340,8304,260900,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003851,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,260900,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003853,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,261360,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003856,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,262100,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003857,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,262590,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003860,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,263570,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003862,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,264060,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003868,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,264240,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003869,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,264710,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003872,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,264930,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
1569888003874,8304.5,8450,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,2000,8308.5,10230,8309,10680,8309.5,128340,8304,265810,8303.5,2200,8303,20600,8302.5,22500,8302,2000,8301.5,36200,8300.5,5100,8300,20600,8299.5,70,8299,8500
